iter,f,grad_norm,step_norm,step_size,cumulative_time,per_iter_time,accepted,armijo_iters,gtd,hvp_calls_iter,hvp_calls_cum,subspace_dim,eta,lambda_min_phpt,lambda_shift,seed_sketch,used_grad_fallback
57,0.147126397859626,0.010416078028137451,0.30209812044484524,1.0,159.39595591789111,2.8055147151462734,1,0,-0.0008102970412587315,200,11400,200,0.10315782357698543,0.0010755240114387837,0.0,1528132914,0
58,0.1464436324883958,0.010275819776639843,0.2846263863963425,1.0,162.18919088179246,2.793150732293725,1,0,-0.0007300009801653948,200,11600,200,0.1020591888471462,0.0010943349286183718,0.0,3112665119,0
59,0.1456201029363338,0.009995523302093287,0.31882066801987324,1.0,164.96620570868254,2.776938766706735,1,0,-0.0008862047151908434,200,11800,200,0.1013697182428749,0.0011081295819677598,0.0,3237545260,0
60,0.14487645159866858,0.009942705979041518,0.3043846901396064,1.0,167.77206831471995,2.8057901081629097,1,0,-0.000800693302808239,200,12000,200,0.09997761400480253,0.0009766627618934618,0.0,3256326646,0
61,0.14424869028093315,0.009763275139326521,0.28215752632187713,1.0,170.58629438187927,2.813860365189612,1,0,-0.0006758665841829995,200,12200,200,0.09971311838991656,0.0010427566387766287,0.0,2805194927,0
62,0.1435438524912371,0.009625203420919732,0.2966965905767601,1.0,173.4642959907651,2.877926734741777,1,0,-0.0007621952424903953,200,12400,200,0.09880928670588873,0.0010374740499120006,0.0,2709792999,0
63,0.14294752370276906,0.00950076171330827,0.27625743289499777,1.0,176.2919809129089,2.8276130533777177,1,0,-0.0006452342584685263,200,12600,200,0.09810812107526946,0.0010440021977005946,0.0,1736216411,0
64,0.1421772821206397,0.009295255807727571,0.30943252892725925,1.0,179.07536564487964,2.7833095104433596,1,0,-0.0008285111965622392,200,12800,200,0.09747185087659037,0.000972384175271457,0.0,2428689932,0
65,0.14152206123585506,0.009302878227178204,0.2930958478705095,1.0,181.84328364767134,2.767843618988991,1,0,-0.0007070618473836971,200,13000,200,0.09641190698107559,0.0009520063261452805,0.0,2170581143,0
66,0.1409428160961787,0.009162033404442887,0.2723047877218897,1.0,184.643160905689,2.7998030139133334,1,0,-0.0006295376631219793,200,13200,200,0.09645142936824837,0.0010280115898320878,0.0,1093952706,0
